user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,68,23.239425,23.438368562500003
True,piano,80,69,23.450692500000002,23.6496360625
False,piano,80,75,23.66196,24.864424187500003
True,piano,80,68,23.66196,23.860903562500003
True,piano,80,57,23.873227500000002,24.0721710625
True,piano,80,63,24.084495,24.283438562500002
True,piano,80,66,24.295762500000002,24.695410187500002
True,piano,80,63,24.718297500000002,24.9172410625
False,piano,80,72,24.929565,26.132029187500002
True,piano,80,60,24.929565,25.128508562500002
True,piano,80,54,25.140832500000002,25.3397760625
True,piano,80,56,25.3521,25.551043562500002
True,piano,80,60,25.563367500000002,25.7623110625
True,piano,80,66,25.774635000000004,25.973578562500002
True,piano,80,63,25.9859025,26.1848460625
False,piano,80,68,26.197170000000003,26.998225937500003
True,piano,80,63,26.4084375,26.607381062500004
True,piano,80,60,26.619705000000003,26.8186485625
